Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
592,,2,5,1.609178386,8500.439349,0.78454554,0.994540402,1198,1198,2396,3
600645,,1,6,2.339008142,1146.735856,0.27317074,0.014218656,41,41,82,3
600713,,1,5,2.182087343,1446.532611,0.5639356,0.066147608,120,120,240,3
600892,,1,6,2.370466321,813.5789133,0.4695652,0.014832449,46,46,92,3
2659,,1,6,2.371946706,223.6330497,0.53977275,0.007671962,33,33,66,3
600515,,2,6,2.618060696,5.254034828,0.6666667,0.00158949,3,3,6,3
933,,2,5,1.622871947,1608.923224,0.82489,0.993343163,1167,1167,2334,3
600697,,1,6,2.439674315,293.0040622,0.39666668,0.009771309,25,25,50,3
656,,2,5,1.61176906,7840.101972,0.7931694,0.994245866,1191,1191,2382,3
1696,,2,6,1.833456699,11542.49888,0.8969977,0.578655561,716,716,1432,3
2052,,1,6,2.403404885,5544.375301,0.6837121,0.01537667,33,33,66,3
601028,,1,6,2.274241303,547.3383619,0.5133284,0.034432702,74,74,148,3
601318,,2,5,1.603626943,5288.37517,0.77636397,0.997171508,1207,1207,2414,3
2288,,1,6,2.526276832,169.4141072,0.63809526,0.002297379,15,15,30,3
2507,,1,6,2.280903035,1535.849801,0.3259887,0.017891277,60,60,120,3
600877,,1,6,2.499259808,146.0706886,0.503268,0.004866562,18,18,36,3
603002,,2,6,1.84900074,5168.573033,0.9613849,0.57690139,690,690,1380,3
2657,,1,6,2.429311621,3.143602591,0.9350649,0.007301429,22,22,44,3
735,,2,5,1.724278312,2082.189913,0.9731378,0.852039836,937,937,1874,3
937,,2,5,1.615470022,6777.121189,0.80612737,0.993911043,1181,1181,2362,3
2167,,1,6,2.356772761,829.7765065,0.4353599,0.025182316,54,54,108,3
600706,,1,6,2.310140637,1814.863126,0.32276994,0.027947711,72,72,144,3
601798,,2,6,1.853441895,985.5672837,0.97474694,0.58031028,688,688,1376,3
2196,,1,6,2.495188749,457.6361867,0.13235295,0.001743983,17,17,34,3
300262,,1,6,2.470022206,677.54415,0.32258064,0.004924403,32,32,64,3
600781,,1,6,2.352331606,1696.460809,0.53542393,0.011583584,42,42,84,3
2124,,1,6,2.267579571,915.8362782,0.41157848,0.02450155,67,67,134,3
2364,,1,6,2.317172465,737.4357334,0.29598308,0.010366082,44,44,88,3
600153,,1,5,2.210584752,919.1464,0.6424763,0.082147626,123,123,246,3
2587,,1,6,2.340118431,46.2495374,0.9565657,0.013886714,45,45,90,3
2306,,2,6,2.680606958,4.909554805,0.6666667,0.00172708,3,3,6,3
2564,,2,5,1.730199852,2026.843952,0.99783784,0.850398557,924,924,1848,3
600301,,1,6,2.582531458,0.18405562,0.33333334,0.001900257,3,3,6,3
300343,,1,7,2.807920059,11.60567222,0.4,6.92E-04,5,5,10,3
923,,1,7,3.339378238,0,0,3.13E-05,1,1,2,3
300212,,1,6,2.3823094,236.918391,0.47058824,0.016168073,35,35,70,3
2247,,1,6,2.271280533,1780.598967,0.7123016,0.014960895,64,64,128,3
600653,,2,6,1.858623242,15595.92871,0.9853678,0.574906506,680,680,1360,3
996,,1,6,2.467801628,94.66435903,0.7368421,0.004065096,20,20,40,3
600193,,1,7,3.236121392,7.238369071,0,5.62E-05,2,2,4,3
537,,1,6,2.515914138,106.5394364,0.36363637,0.004461395,12,12,24,3
300174,,1,6,2.297187269,771.277432,0.43955275,0.019584857,54,54,108,3
300194,,2,5,1.729829756,736.1292968,0.99573416,0.850433806,925,925,1850,3
300423,,1,6,2.53626943,16.17833831,0.7948718,0.00624961,13,13,26,3
2109,,1,6,2.539600296,191.7817842,0.35897437,0.004233224,13,13,26,3
2194,,2,5,1.715396003,8709.799575,0.94569504,0.856129646,954,954,1908,3
2592,,2,7,2.859733531,0,0,5.83E-04,1,1,2,3
603015,,2,6,1.860103627,6082.690874,0.99410033,0.574873192,677,677,1354,3
707,,1,7,2.82642487,37.9163565,0.1,6.42E-04,5,5,10,3
600352,,2,5,1.620651369,4689.485213,0.8166962,0.993555015,1173,1173,2346,3
2390,,1,6,2.256106588,1726.708317,0.4255112,0.022626705,79,79,158,3
2699,,1,6,2.294966691,893.4900592,0.42349726,0.015242633,61,61,122,3
603099,,1,6,2.41857883,90.00136166,0.88815063,0.015818767,43,43,86,3
856,,2,6,1.858623242,1285.179793,0.98838955,0.574928401,679,679,1358,3
600249,,1,6,2.537749815,329.1399889,0.52105266,0.004755745,20,20,40,3
673,,1,7,2.589933383,106.6955804,0.5,0.001681298,17,17,34,3
2583,,1,6,2.331606218,426.4667421,0.51884055,0.018760099,46,46,92,3
2664,,1,6,2.324204293,383.4071147,0.58446455,0.020471265,52,52,104,3
600337,,2,6,1.827905255,7036.060928,0.8847398,0.58933794,730,730,1460,3
603008,,1,6,2.379718727,150.7022244,0.41798943,0.007693275,28,28,56,3
600128,,1,6,2.452257587,339.070044,0.4359606,0.008965039,29,29,58,3
600738,,1,6,2.501480385,150.1995342,0.5714286,0.009171461,22,22,44,3
2776,,2,5,1.72945966,8116.696314,0.99783665,0.850398637,924,924,1848,3
600261,,2,5,1.612509252,2283.399107,0.79375494,0.99645351,1193,1193,2386,3
600295,,1,6,2.512583272,26.91167837,0.75,0.002885681,16,16,32,3
788,,2,5,1.622871947,1382.906299,0.8248959,0.993345889,1167,1167,2334,3
600377,,1,6,2.535899334,62.04882582,0.5555556,0.008978518,19,19,38,3
601313,,2,6,2.476683938,0.160180993,0.9809524,0.017455115,21,21,42,3
683,,1,7,3.235381199,9.117297415,0.33333334,5.76E-05,3,3,6,3
2097,,1,7,2.797187269,135.2599387,0.33333334,6.44E-04,4,4,8,3
300124,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
416,,1,6,2.560695781,1.88537136,0.33333334,0.001665013,4,4,8,3
300421,,1,6,2.530717987,95.9558344,0.5714286,0.00544061,15,15,30,3
600666,,1,6,2.321243523,887.4890453,0.7368024,0.015425715,52,52,104,3
300387,,1,6,2.659141377,3657.358335,0.3,9.49E-04,5,5,10,3
600981,,2,6,1.856402665,1871.552322,0.9801267,0.575035394,682,682,1364,3
