Stkcd,Accper,Typrep,net_profit,A003100000,net_property,group,Msmvttl,Mretwd,Mnvaltrd
408,06/30/2015,A,-2831162.19,131445258.29,134767255.13,2,4245393.2433,-0.196666667,7235926042.7
408,09/30/2015,A,-5042787.07,129115413.29,132555630.25,3,4150359.6767,0.2133333333,2974484378.7
409,03/31/2015,A,-24260830.94,1005846155.2,1242764881.8,1,8970447.6733,0.2333333333,5725961029.7
409,06/30/2015,A,-44275085.9,984880115.67,1223197865.1,2,4892541.7233,-0.3,7293338793
409,09/30/2015,A,26539836.03,1049103583.3,1386831474.2,3,3975485.5933,0.0833333333,4407077517.3
410,03/31/2015,A,-142677730.5,2568900392.1,2603081429.8,1,20994314.78,0.2766666667,28743055961
410,06/30/2015,A,-266238317.8,2427356198.8,2481040538.2,2,18075319.143,-0.146666667,43913488495
410,09/30/2015,A,-471589920.7,2226847258.6,2279074846.4,3,17802301.19,0.1166666667,40032061332
411,03/31/2015,A,36221248.49,628085906.33,1407909644.5,1,,,
411,06/30/2015,A,77235070.61,644284683.45,1441913499.6,2,4958053.71,0.0133333333,3577933478
411,09/30/2015,A,116572766.3,658623980.77,1471565454,3,4542462.32,0.1866666667,2095462199
413,03/31/2015,A,220408956.2,6388440660.9,6604831099.2,1,29282651.2,0.18,42295787231
413,06/30/2015,A,453866152.5,6607166806.2,6873070078.1,2,20792129.6,-0.156666667,24829335458
413,09/30/2015,A,825135050.7,6965156857.1,7245932276.2,3,21137861.067,0.11,13969133741
415,03/31/2015,A,341817000,10024852000,13062552000,1,41163840.645,0.41,11065564893
415,06/30/2015,A,822867000,10288535000,13255843000,2,30411561.58,-0.156666667,17446186643
415,09/30/2015,A,1300407000,10958036000,15955737000,3,28010337.54,0.06,7882691545.3
416,03/31/2015,A,12205496.09,859830727.53,873891548.35,1,7784825.7667,0.2,4519407782.1
416,06/30/2015,A,26643530.63,872929765.2,887712928.72,2,7547256.5,-0.19,21218994
416,09/30/2015,A,-16968260.24,830181657.02,845356108.98,3,4765568.5867,-0.04,5465208949
417,03/31/2015,A,119150036.3,3362562977.5,3835254566.8,1,9025859.8067,0.17,9396936430.3
417,06/30/2015,A,202075821.7,3290375997.5,3763600341.1,2,7892428.1033,-0.123333333,10496695472
417,09/30/2015,A,255329740.3,3331206562.7,3815607504.2,3,7141139.6567,0.0233333333,3815129688
418,03/31/2015,A,277163481.1,4672579250,5424310014,1,9204271.9467,0.0966666667,3157761885.7
418,06/30/2015,A,498509022.1,4580881426.3,5365874542.8,2,9669267.94,-0.03,5540096831.7
418,09/30/2015,A,798716331.9,4846345765,5677000830.1,3,8990903.5333,0.0266666667,1601193320.3
419,03/31/2015,A,37765439.76,1832985980.1,1952643633.2,1,5510116.1767,0.1733333333,4239698049.7
419,06/30/2015,A,86829313.3,1878760431.4,2001707506.7,2,4888620.01,-0.12,5957944527.7
419,09/30/2015,A,102155104.7,1836777131.9,1962675032.6,3,4176526.7333,0.04,2886450383.7
420,03/31/2015,A,-47219575.59,948306204.37,971486921.99,1,5556064.47,0.1966666667,2682759522
420,06/30/2015,A,-6395837.08,993300122.61,995887511.2,2,5601449.3467,-0.09,4869388887.3
420,09/30/2015,A,-3838482.94,996220131.53,998444865.34,3,4483548.1567,0.0333333333,2104563672
421,03/31/2015,A,115906119.8,2192683083.8,3230257834.8,1,6446095.6533,0.1966666667,3459413578.7
421,06/30/2015,A,117319065.6,2172809309.4,3197088833.3,2,5781825.21,-0.096666667,3843273894.7
421,09/30/2015,A,165326446.5,2152054055.6,3246310311.2,3,4663254.8667,0.01,1798394096.3
