Stkcd,Accper,Typrep,B002000000
528,6/30/2015,A,86605454.74
528,3/31/2015,A,73254854.15
529,9/30/2015,A,67379094.35
529,6/30/2015,A,42507779.63
529,3/31/2015,A,18820214.5
530,9/30/2015,A,98921791.33
530,6/30/2015,A,64683180.93
530,3/31/2015,A,23000413.35
531,9/30/2015,A,399135186.9
531,6/30/2015,A,306648721.6
531,3/31/2015,A,120429023.5
532,9/30/2015,A,40800520.07
532,6/30/2015,A,28239593.36
532,3/31/2015,A,14009286.87
533,9/30/2015,A,163385476.1
533,6/30/2015,A,105090423.2
533,3/31/2015,A,59834985.73
534,9/30/2015,A,41371526.64
534,6/30/2015,A,36049032.4
534,3/31/2015,A,13387132.5
536,9/30/2015,A,112111011.3
536,6/30/2015,A,73918734.89
536,3/31/2015,A,54168585.11
537,9/30/2015,A,215989400.4
537,6/30/2015,A,155283894.3
537,3/31/2015,A,75067443.63
538,9/30/2015,A,2134755534
538,6/30/2015,A,1251906287
538,3/31/2015,A,561837490.6
539,9/30/2015,A,3675984924
539,6/30/2015,A,2398136224
539,3/31/2015,A,1050566008
540,9/30/2015,A,1919742420
540,6/30/2015,A,1426469951
540,3/31/2015,A,672949820.7
541,9/30/2015,A,67590370.31
541,6/30/2015,A,96515596.92
541,3/31/2015,A,97970797.5
543,9/30/2015,A,1628386143
543,6/30/2015,A,1215887477
543,3/31/2015,A,605047071.5
544,9/30/2015,A,85122779.69
544,6/30/2015,A,38125744.59
544,3/31/2015,A,20906947.73
545,9/30/2015,A,94588994.21
545,6/30/2015,A,65096435.14
545,3/31/2015,A,11368233.36
546,9/30/2015,A,174924269
546,6/30/2015,A,10989461.85
546,3/31/2015,A,-35177483.51
547,9/30/2015,A,139359649.7
547,6/30/2015,A,165703206
547,3/31/2015,A,76453237.47
548,9/30/2015,A,-789846.38
548,6/30/2015,A,-766001.11
548,3/31/2015,A,-1535021.33
550,9/30/2015,A,1540398485
550,6/30/2015,A,1081532259
550,3/31/2015,A,574049929.2
551,9/30/2015,A,62968102.32
551,6/30/2015,A,41196934.97
551,3/31/2015,A,22571329.1
552,9/30/2015,A,165330398.5
552,6/30/2015,A,124758877.3
552,3/31/2015,A,67908536.38
553,9/30/2015,A,147212802.4
553,6/30/2015,A,117644348
553,3/31/2015,A,77027454.49
554,9/30/2015,A,6245028.07
554,6/30/2015,A,3712471.98
554,3/31/2015,A,1030395.92
555,9/30/2015,A,173179489.9
555,6/30/2015,A,95369830.7
555,3/31/2015,A,15215243.72
557,9/30/2015,A,118946.63
557,6/30/2015,A,58961.12
557,3/31/2015,A,124250.68
558,9/30/2015,A,-29812266.2
558,6/30/2015,A,-11197227.51
558,3/31/2015,A,14805182.13
559,9/30/2015,A,617460027.2
559,6/30/2015,A,490112458.9
559,3/31/2015,A,224212600.3
560,9/30/2015,A,7865257.02
560,6/30/2015,A,3667634.66
560,3/31/2015,A,5202933.3
561,9/30/2015,A,7950869.85
561,6/30/2015,A,8526150
561,3/31/2015,A,-23550487.63
563,9/30/2015,A,342614851.8
563,6/30/2015,A,288910610.6
563,3/31/2015,A,75226049.76
564,9/30/2015,A,45855444.64
564,6/30/2015,A,37916642.2
564,3/31/2015,A,24498299.62
565,9/30/2015,A,164111639
565,6/30/2015,A,151574868.8
565,3/31/2015,A,8379899.41
566,9/30/2015,A,237608928.1
566,6/30/2015,A,116271490.5
566,3/31/2015,A,58527094.97
567,9/30/2015,A,14475773.24
567,6/30/2015,A,14258596.12
567,3/31/2015,A,515936.62
568,9/30/2015,A,1385309307
568,6/30/2015,A,1060213586
568,3/31/2015,A,565809009.9
570,9/30/2015,A,74976353.47
570,6/30/2015,A,38217442.56
570,3/31/2015,A,17614643.3
571,9/30/2015,A,89259527.65
571,6/30/2015,A,52167493.66
571,3/31/2015,A,25045993.64
572,9/30/2015,A,105655112.8
572,6/30/2015,A,215368230.6
572,3/31/2015,A,143473589.7
573,9/30/2015,A,-53440324.19
573,6/30/2015,A,-28313020.25
573,3/31/2015,A,-15915538.41
576,9/30/2015,A,81148671.58
576,6/30/2015,A,-24456155.24
576,3/31/2015,A,-13148296.38
581,9/30/2015,A,1329357416
581,6/30/2015,A,1070089477
581,3/31/2015,A,445950852.3
582,9/30/2015,A,362836594.3
582,6/30/2015,A,250516232.6
582,3/31/2015,A,104270031.8
584,9/30/2015,A,16123528.06
584,6/30/2015,A,39239297.86
584,3/31/2015,A,39062489.91
585,9/30/2015,A,-919172.62
585,6/30/2015,A,-1563776.63
585,3/31/2015,A,-2660822.92
586,9/30/2015,A,14160834.23
586,6/30/2015,A,-652994.49
586,3/31/2015,A,-1860982.08
587,9/30/2015,A,118089123.1
587,6/30/2015,A,70288229.8
587,3/31/2015,A,31568569.82
589,9/30/2015,A,80886065.89
589,6/30/2015,A,65849921.43
589,3/31/2015,A,43519184.75
590,9/30/2015,A,31498822.6
590,6/30/2015,A,11302591.48
590,3/31/2015,A,10257697.97
591,9/30/2015,A,-19793429.21
591,6/30/2015,A,8542657.44
591,3/31/2015,A,6758045.88
592,9/30/2015,A,33488871.17
592,6/30/2015,A,34793358.51
592,3/31/2015,A,-415490.01
593,9/30/2015,A,9678943.98
593,6/30/2015,A,6900429.47
593,3/31/2015,A,2242068.56
594,3/31/2015,A,-11134291.84
595,9/30/2015,A,-59694246.1
595,6/30/2015,A,-44431586.18
595,3/31/2015,A,-23457430.6
596,9/30/2015,A,500610929
596,6/30/2015,A,380504804.2
596,3/31/2015,A,302810177.3
597,9/30/2015,A,-220136552.2
597,6/30/2015,A,-84425551.96
597,3/31/2015,A,-30500863.3
598,9/30/2015,A,737768452.5
598,6/30/2015,A,439960587.8
598,3/31/2015,A,193167894.2
599,9/30/2015,A,38291675.3
599,6/30/2015,A,26710330.6
599,3/31/2015,A,8774932.56
600,9/30/2015,A,2306925044
600,6/30/2015,A,1466393083
600,3/31/2015,A,717488617.8
601,9/30/2015,A,257065050
601,6/30/2015,A,150466327.3
601,3/31/2015,A,43477254.71
603,9/30/2015,A,311756174.7
603,6/30/2015,A,215640788.2
603,3/31/2015,A,50363330.44
605,9/30/2015,A,35114756.25
605,6/30/2015,A,10054006.82
605,3/31/2015,A,4316777.36
606,9/30/2015,A,-12746506.1
606,6/30/2015,A,-47714774.18
606,3/31/2015,A,-22367487.35
607,9/30/2015,A,144011901.9
607,6/30/2015,A,87462772.3
607,3/31/2015,A,4402116.04
608,9/30/2015,A,38070000
608,6/30/2015,A,2396000
608,3/31/2015,A,-50829000
609,9/30/2015,A,-1599493.34
609,6/30/2015,A,-6134762.18
609,3/31/2015,A,-5142843.78
610,9/30/2015,A,-11932961.65
610,6/30/2015,A,-9001181.56
610,3/31/2015,A,-8858473.86
611,9/30/2015,A,-22525445.69
611,6/30/2015,A,-21729306.66
611,3/31/2015,A,-7272145.41
612,9/30/2015,A,19110010.93
612,6/30/2015,A,48269447.39
612,3/31/2015,A,27468358.46
613,9/30/2015,A,-6446202.64
613,6/30/2015,A,-3391966.64
613,3/31/2015,A,-112934.03
615,9/30/2015,A,243986223.6
615,6/30/2015,A,105246520.1
615,3/31/2015,A,100080140.3
616,9/30/2015,A,60564854.72
616,6/30/2015,A,86092245.78
616,3/31/2015,A,8926682.95
617,9/30/2015,A,-25358003.9
617,6/30/2015,A,6033834.46
617,3/31/2015,A,2279652.74
619,9/30/2015,A,87041423.12
619,6/30/2015,A,49644289.85
619,3/31/2015,A,10057605.56
620,9/30/2015,A,107194125
620,6/30/2015,A,71404361.12
620,3/31/2015,A,12149806.36
622,9/30/2015,A,-25693444.58
622,6/30/2015,A,-16796452.25
622,3/31/2015,A,-7141746.38
623,9/30/2015,A,2022730986
623,6/30/2015,A,1663334702
623,3/31/2015,A,588354215.5
625,9/30/2015,A,6700249194
625,6/30/2015,A,5057736239
625,3/31/2015,A,2478269400
626,9/30/2015,A,567927386.9
626,6/30/2015,A,485907773.1
